"","ID_RELACION","ID_ESCUELA","CODIGO_COMUNA","LATITUD","LONGITUD"
"6502",NA,10449,13201,"-33.6058730","-70.5607450"
"6503",NA,10450,13201,"-33.6113730","-70.5710280"
"6504",NA,10452,13201,"-33.6061350","-70.5777180"
"6505",NA,10453,13201,"-33.6093620","-70.5802060"
"6506",NA,10455,13201,"-33.6277890","-70.5871680"
"6507",NA,10456,13201,"-33.6165550","-70.5841260"
"6508",NA,10457,13201,"-33.6162670","-70.5793840"
"6509",NA,10458,13201,"-33.6175290","-70.5890400"
"6510",NA,10459,13201,"-33.6056860","-70.5845570"
"6511",NA,10460,13201,"-33.6160110","-70.5717110"
"6512",NA,10461,13201,"-33.6141600","-70.5633240"
"6513",NA,10462,13201,"-33.6034030","-70.5706700"
"6514",NA,10464,13201,"-33.6215330","-70.5850500"
"6515",NA,10465,13201,"-33.6089740","-70.5917930"
"6516",NA,10470,13201,"-33.5632670","-70.5547190"
"6517",NA,10472,13201,"-33.6081570","-70.5270360"
"6518",NA,10473,13201,"-33.6215550","-70.5925610"
"6519",NA,10474,13201,"-33.5854400","-70.5754920"
"6520",NA,10475,13201,"-33.5771610","-70.5873250"
"6521",NA,10476,13201,"-33.6124800","-70.5805310"
"6522",NA,10478,13201,"-33.6088690","-70.5720660"
"6523",NA,10479,13201,"-33.6053910","-70.5821470"
"6524",NA,10480,13201,"-33.6110500","-70.5700450"
"6525",NA,10482,13201,"-33.6081350","-70.5680450"
"6526",NA,10484,13201,"-33.6090750","-70.5790750"
"6527",NA,10487,13201,"-33.6088490","-70.5795020"
"6528",NA,10488,13201,"-33.6065210","-70.5804910"
"6529",NA,10489,13201,"-33.6102580","-70.5817770"
"6530",NA,10491,13201,"-33.6037130","-70.5733680"
"6531",NA,10492,13201,"-33.6068260","-70.5667090"
"6532",NA,10493,13201,"-33.6074330","-70.5627340"
"6533",NA,10495,13201,"-33.6067370","-70.5203560"
"6534",NA,10496,13201,"-33.5951610","-70.5816910"
"6535",NA,10497,13201,"-33.5912530","-70.5799600"
"6536",NA,10500,13201,"-33.5830880","-70.6087560"
"6537",NA,10501,13201,"-33.5803330","-70.5723670"
"6538",NA,10502,13201,"-33.5927950","-70.5797180"
"6539",NA,10503,13201,"-33.5894420","-70.5803640"
"6540",NA,10505,13201,"-33.5825240","-70.5757430"
"6541",NA,10506,13201,"-33.5806300","-70.6078810"
"6542",NA,10507,13201,"-33.5912530","-70.5799600"
"6543",NA,10512,13201,"-33.6108400","-70.5779560"
"6544",NA,10513,13201,"-33.6108800","-70.5736200"
"6545",NA,10515,13201,"-33.5842090","-70.5534080"
"6546",NA,10516,13202,"-33.6386090","-70.5751380"
"6547",NA,10519,13202,"-33.6911740","-70.5778570"
"6548",NA,10520,13202,"-33.7224640","-70.5481570"
"6549",NA,10522,13202,"-33.6070680","-70.4848950"
"6550",NA,10524,13202,"-33.6185220","-70.5297180"
"6551",NA,10526,13203,"-33.6409390","-70.3535360"
